 mu=-15.000 phi=0.9754492681 fE=12.57658944
 mu=-14.000 phi=0.9169199726 fE=12.52983041
 mu=-13.900 phi=0.9035100296 fE=12.52087669
 mu=-13.800 phi=0.8864458217 fE=12.51041165
 mu=-13.750 phi=0.8759353941 fE=12.50447792
 mu=-13.710 phi=0.8661974712 fE=12.49932511 phi=0.2723994811 fE=12.57008043 
 mu=-13.700 phi=0.8635354727 fE=12.49797385 phi=0.2474831671 fE=12.56266309
 mu=-13.600 phi=0.8292848302 fE=12.48275322 phi=0.1707151698 fE=12.48275321
 mu=-13.500 phi=0.7525168339 fE=12.46266309 phi=0.1364645275 fE=12.39797387
 mu=-13.490 phi=0.7276005205 fE=12.46008043 phi=0.1338025289 fE=12.38932511
 mu=-13.400 phi=0.1135541783 fE=12.31041165
 mu=-13.300 phi=0.0964899703 fE=12.22087669
 mu=-13.200 phi=0.0830800274 fE=12.12983042
 mu=-13.100 phi=0.0721936958 fE=12.03757634
 mu=-13.000 phi=0.0631607702 fE=11.94433069
 mu=-12.000 phi=0.0197383534 fE=10.98099929
 mu=-11.000 phi=0.0069172393 fE=9.993173559
 
