# kappa mu_homo Phi_Copo_Dis Phi_Homo_Dis Phi_Copo_Ord Phi_Homo_Ord Free_Energy Free_Energy_Homo Lx Ly Lz
#1 -30.0 0 0 1.0000 0.0000000 12.2321 0 2.4 4 4.9
1 -15 0 0 0.977173 0.0228245 12.2097 0 2.3 4 5
1 -14.9 0 0 0.975201 0.0248015 12.2074 0 2.4 4 5
1 -14.8 0 0 0.972573 0.0274299 12.2047 0 2.4 4 5
1 -14.7 0 0 0.969664 0.0303384 12.2019 0 2.4 4 5
1 -14.6 0 0 0.966445 0.0335573 12.1987 0 2.4 4 5
1 -14.5 0 0 0.962882 0.0371201 12.1951 0 2.4 4 5
1 -14.4 0 0 0.955968 0.0440339 12.1911 0 2.4 4 5
1 -14.3 0 0 0.953744 0.0462554 12.1865 0 2.4 4 5.1
1 -14.2 0 0 0.946326 0.0536751 12.1815 0 2.4 4 5.1
1 -14.1 0 0 0.940639 0.0593619 12.1759 0 2.4 4 5.1
1 -14 0 0 0.930643 0.0693566 12.1695 0 2.4 4 5.1
1 -13.9 0 0 0.927126 0.072876 12.1625 0 2.4 4 5.2
1 -13.8 0 0 0.910846 0.0891536 12.1545 0 2.4 4 5.2
1 -13.7 0 0 0.906352 0.0936504 12.1453 0 2.4 4 5.3
1 -13.6 0 0 0.885768 0.114232 12.1349 0 2.4 4 5.3
1 -13.5 0 0 0.873463 0.126536 12.1232 0 2.4 4 5.4
1 -13.4 0 0 0.853729 0.14627 12.1096 0 2.4 4 5.5
1 -13.3 0 0 0.824241 0.175764 12.0939 0 2.4 4 5.6
1 -13.2 0 0 0.797869 0.202132 12.0746 0 2.4 4 5.8
1 -13.1 0 0 0.64642 0.353592 12.0256 0 2.3 4.6 6.1
1 -13 0 0 0.150247 0.849754 11.9448 0 2.3 14.2 16.6
1 -12.9 0 0 0.138973 0.861031 11.8593 0 2.3 14.6 17.4
1 -12.8 0 0 0.129808 0.870191 11.7726 0 2.4 14.9 17.7
1 -12.7 0 0 0.121923 0.878075 11.6851 0 2.4 15.1 17.9
1 -12.6 0 0 0.0998758 0.900124 11.5867 0 2.3 16.9 19.5
 
